% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
54.31%,0.850183824,45.69%,0.033088235,0.116727941,95.61%,0.00%,4.39%,0.00%,925,Pakistan,Kasur,98.18,71.94,2.68%,85.92,81.18,47.68,0.00%,0.723885562,1088,0.276114438,415,4.00%,1466000,36,127,Punjab,63.21,92.12,93.55,1503
63.08%,0.882113821,36.92%,0.029810298,0.088075881,98.62%,0.00%,1.38%,0.00%,651,Pakistan,Khanewal,98.28,71.81,2.68%,82.1,78.44,67.5,0.00%,0.566820276,738,0.433179724,564,4.00%,2068490,22,65,Punjab,54.41,90.4,93.1,1302
67.69%,0.811267606,32.31%,0.053521127,0.135211268,88.81%,0.00%,11.19%,0.00%,576,Pakistan,Khushab,85.8,67.5,2.68%,66.76,83.85,45.67,0.00%,0.735751295,710,0.264248705,255,4.00%,1205460,38,96,Punjab,58.16,82.81,92.9,965
57.39%,0.896551724,42.61%,0.052473763,0.050974513,98.95%,0.00%,1.05%,0.00%,598,Pakistan,Lahore,97.69,84.12,2.68%,94.22,87.96,62.54,0.00%,0.537903226,667,0.462096774,573,4.00%,6318745,35,34,Punjab,93.36,92.89,92.92,1240
61.84%,0.706666667,38.16%,0.063529412,0.229803922,96.82%,0.00%,3.18%,0.00%,901,Pakistan,Layyah,98.82,74.09,2.68%,66.95,97.14,52.13,0.00%,0.765306122,1275,0.234693878,391,4.00%,1120951,81,293,Punjab,58.94,86.45,94.58,1666
62.63%,0.855421687,37.37%,0.018932874,0.125645439,99.52%,0.00%,0.48%,0.00%,497,Pakistan,Lodhran,91.36,67.33,2.68%,77.12,70.72,55.65,0.00%,0.700844391,581,0.299155609,248,4.00%,1171800,11,73,Punjab,55.57,89.86,94.58,829
52.49%,,47.51%,,,,,,,,Pakistan,Mandi Bahauddin,98.59,80.72,2.68%,89.96,89.31,60.73,,0.663540445,566,0.336459555,287,4.00%,1160552,,,Punjab,75.36,92.25,91.73,853
73.04%,0.798586572,26.96%,0.064487633,0.136925795,91.75%,0.00%,8.25%,0.00%,904,Pakistan,Mianwali,94.76,67.88,2.68%,74.67,78.84,55.05,0.00%,0.791055206,1132,0.208944794,299,4.00%,1056620,73,155,Punjab,60.67,87.56,90.74,1431
64.29%,0.872047244,35.71%,0.029527559,0.098425197,97.60%,0.00%,2.40%,0.00%,886,Pakistan,Multan,97.95,67.78,2.68%,82,78.2,48.52,0.00%,0.718021201,1016,0.281978799,399,4.00%,3116851,30,100,Punjab,58.71,90.76,90.41,1415
71.19%,0.746511628,28.81%,0.054069767,0.199418605,96.21%,0.00%,3.79%,0.00%,1284,Pakistan,Muzaffargarh,96.76,59.27,2.68%,76.2,66.55,54.7,0.00%,0.825732117,1720,0.174267883,363,4.00%,2635903,93,343,Punjab,37.02,86.71,92.65,2083
57.84%,0.843444227,42.16%,0.023483366,0.133072407,94.47%,0.00%,5.53%,0.00%,431,Pakistan,Nankana Sahib,98.25,67.47,2.68%,76.85,82.51,68.78,0.00%,0.688679245,511,0.311320755,231,4.00%,1410000,12,68,Punjab,26.42,87.63,93.77,742
55.48%,0.815544041,44.52%,0.066321244,0.118134715,92.37%,0.00%,7.63%,0.00%,787,Pakistan,Narowal,96.17,79.78,2.68%,70.91,90.54,61.01,0.00%,0.751557632,965,0.248442368,319,4.00%,1265097,64,114,Punjab,73.07,86.58,91.2,1284
59.67%,0.73,40.33%,0.031818182,0.238181818,93.12%,0.00%,6.88%,0.00%,803,Pakistan,Okara,97.83,73.81,2.68%,82.4,89.4,52.47,0.00%,0.701083493,1100,0.298916507,469,4.00%,2232992,35,262,Punjab,63.02,89.75,95.13,1569
69.17%,0.825825826,30.83%,0.010510511,0.163663664,97.04%,0.00%,2.96%,0.00%,550,Pakistan,Pakpattan,95.37,69.76,2.68%,87.16,79.54,65.26,0.00%,0.730263158,666,0.269736842,246,4.00%,1286680,7,109,Punjab,53.42,91.7,96.72,912
69.56%,0.676771504,30.44%,0.064797272,0.258431224,91.86%,0.00%,8.14%,0.00%,1786,Pakistan,Rahim Yar Khan,91.38,62.4,2.68%,63.15,53.57,64.96,0.00%,0.814003701,2639,0.185996299,603,4.00%,3141053,171,682,Punjab,50.64,81.57,90.5,3242
93.71%,0.573869347,6.29%,0.148743719,0.277386935,90.40%,0.00%,9.60%,0.00%,571,Pakistan,Rajanpur,82.19,47.81,2.68%,21.23,60.08,45.34,0.00%,0.860726644,995,0.139273356,161,4.00%,1103618,148,276,Punjab,29.52,70.6,86.02,1156
56.53%,0.941035857,43.47%,0.014342629,0.044621514,87.20%,0.00%,12.80%,0.00%,1181,Pakistan,Rawalpindi,88.22,86.8,2.68%,75.06,91.56,71.23,0.00%,0.635121457,1255,0.364878543,721,4.00%,3363911,18,56,Punjab,90.94,85.07,91.38,1976
56.43%,0.888268156,43.57%,0.018156425,0.093575419,90.27%,0.00%,9.73%,0.00%,636,Pakistan,Sahiwal,99.58,72.97,2.68%,94.15,80.04,50.8,0.00%,0.59517872,716,0.40482128,487,4.00%,1843194,13,67,Punjab,67.47,93.04,94.43,1203
58.68%,0.843562874,41.32%,0.046407186,0.11002994,92.86%,0.00%,7.14%,0.00%,1127,Pakistan,Sargodha,91.39,76.96,2.68%,81.25,89.81,58.39,0.00%,0.658128079,1336,0.341871921,694,4.00%,2665979,62,147,Punjab,68.32,84.35,86.88,2030
50.70%,0.768796992,49.30%,0.073308271,0.157894737,94.14%,0.00%,5.86%,0.00%,818,Pakistan,Sheikhupura,95.62,82.51,2.68%,66,79.73,56.01,0.00%,0.741980474,1064,0.258019526,370,4.00%,2321029,78,168,Punjab,95.02,86.05,89.88,1434
57.24%,0.813387424,42.76%,0.07775524,0.108857336,97.00%,0.00%,3.00%,0.00%,1203,Pakistan,Sialkot,95.59,81.52,2.68%,81.64,100,47.17,0.00%,0.738392411,1479,0.261607589,524,4.00%,1688823,115,161,Punjab,86.16,88.56,91.92,2003
61.58%,0.934722222,38.42%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,673,Pakistan,Toba Tek Singh,98.74,81.14,2.68%,91.73,86.29,76.05,0.00%,0.596520298,720,0.403479702,487,4.00%,1621593,16,31,Punjab,73.8,93.02,95.37,1207
59.54%,0.843570058,40.46%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,879,Pakistan,Vehari,96.54,70.23,2.68%,90.45,73.88,56.23,0.00%,0.692358804,1042,0.307641196,463,4.00%,2090416,27,136,Punjab,60.34,93.37,95.97,1505
53.96%,0.835680751,46.04%,0.042253521,0.122065728,95.96%,0.00%,4.04%,0.00%,712,Pakistan,Attock,95.305164,81.250789,2.20%,86.737089,85.942461,57.017613,0.00%,0.662004662,852,0.337995338,435,4.70%,1274935,36,104,Punjab,86,92.018779,96.126761,1287
60.44%,0.713119216,39.56%,0.097441481,0.189439303,88.43%,0.00%,11.57%,0.00%,1310,Pakistan,Bahawalnagar,96.897115,65.029001,2.20%,77.299946,59.010374,57.55,0.00%,0.76446109,1837,0.23553891,566,4.70%,2061447,179,348,Punjab,54,87.468699,93.903103,2403
54.38%,0.752610966,45.62%,0.066579634,0.180809399,92.60%,0.00%,7.40%,0.00%,1153,Pakistan,Bahawalpur,98.237598,65.335176,2.20%,82.70235,50.24721,62.47375,0.00%,0.776482514,1532,0.223517486,441,4.70%,2433091,102,277,Punjab,53,90.672092,96.866841,1973
59.83%,0.836714976,40.17%,0.024154589,0.139130435,89.96%,0.00%,10.04%,0.00%,866,Pakistan,Bhakkar,99.323671,71.664929,2.20%,74.009662,70.288522,67.204602,0.00%,0.769516729,1035,0.230483271,310,4.70%,1051456,25,144,Punjab,59,88.163858,97.584541,1345
54.43%,0.900133156,45.57%,0.015978695,0.083888149,96.61%,0.00%,3.39%,0.00%,676,Pakistan,Chakwal,97.070573,84.848134,2.20%,87.483356,88.903192,66.233333,0.00%,0.621688742,751,0.378311258,457,4.70%,1083725,12,63,Punjab,88.683013,94.234641,97.603196,1208
63.43%,0.822097378,36.57%,0.052434457,0.125468165,96.10%,0.00%,3.90%,0.00%,439,Pakistan,Chiniot,99.812734,66.630317,2.20%,93.632959,68.022341,58.930128,0.00%,0.770562771,534,0.229437229,159,4.70%,965124,28,67,Punjab,53,93.920194,96.816479,693
64.52%,0.592567103,35.48%,0.206469374,0.200963524,76.37%,0.00%,23.63%,0.00%,861,Pakistan,Dera Ghazi Khan,84.514797,61.020956,2.20%,41.84446,64.09006,60.5125,0.00%,0.815375982,1453,0.184624018,329,4.70%,2643118,300,292,Punjab,34,68.841555,74.260151,1782
54.28%,0.868008949,45.72%,0.041759881,0.090231171,96.09%,0.00%,3.91%,0.00%,1164,Pakistan,Faisalabad,99.627144,78.876624,2.20%,95.824012,77.552136,65.232587,0.00%,0.576526225,1341,0.423473775,985,4.70%,5429547,56,121,Punjab,77,94.58613,98.508576,2326
54.61%,0.838209983,45.39%,0.048192771,0.113597246,95.90%,0.00%,4.10%,0.00%,974,Pakistan,Gujranwala,98.623064,77.182201,2.20%,85.886403,74.913087,53.426207,0.00%,0.679929783,1162,0.320070217,547,4.70%,3400940,56,132,Punjab,85,91.220304,95.611015,1709
57.37%,0.878172589,42.63%,0.023350254,0.098477157,97.65%,0.00%,2.35%,0.00%,865,Pakistan,Gujrat,98.883249,82.663101,2.20%,94.010152,80.18796,70.832116,0.00%,0.662407532,985,0.337592468,502,4.70%,2048008,23,97,Punjab,87,94.461152,97.055838,1487
52.01%,0.693014706,47.99%,0.018382353,0.288602941,97.40%,0.00%,2.60%,0.00%,377,Pakistan,Hafizabad,97.977941,73.994805,2.20%,75.367647,70.274611,59.578922,0.00%,0.744186047,544,0.255813953,187,4.70%,832980,10,157,Punjab,68.131837,90.183824,93.198529,731
63.85%,0.846805235,36.15%,0.077752117,0.075442648,85.26%,0.00%,14.74%,0.00%,1100,Pakistan,Jhang,99.384142,69.525416,2.20%,79.368745,68.747925,65.2,0.00%,0.78489426,1299,0.21510574,356,4.70%,2834546,101,98,Punjab,58,87.458194,94.996151,1655
59.22%,0.853747715,40.78%,0.02559415,0.120658135,97.61%,0.00%,2.39%,0.00%,467,Pakistan,Jhelum,97.25777,80.925901,2.20%,92.687386,90.791486,57.060828,0.00%,0.653524492,547,0.346475508,290,4.70%,936957,14,66,Punjab,85.071091,93.888342,97.806216,837
54.38%,0.850183824,45.62%,0.033088235,0.116727941,95.61%,0.00%,4.39%,0.00%,925,Pakistan,Kasur,98.988971,72.529162,2.20%,91.911765,68.024759,56.475,0.00%,0.723885562,1088,0.276114438,415,4.70%,1466000,36,127,Punjab,70,93.363971,96.507353,1503
62.65%,0.882113821,37.35%,0.029810298,0.088075881,98.62%,0.00%,1.38%,0.00%,651,Pakistan,Khanewal,98.644986,70.386552,2.20%,90.785908,68.793576,68.4,0.00%,0.566820276,738,0.433179724,564,4.70%,2068490,22,65,Punjab,57,93.848238,97.696477,1302
60.77%,0.811267606,39.23%,0.053521127,0.135211268,88.81%,0.00%,11.19%,0.00%,576,Pakistan,Khushab,90.56338,72.830717,2.20%,68.732394,69.712169,52.382749,0.00%,0.735751295,710,0.264248705,255,4.70%,1205460,38,96,Punjab,80,82.074318,93.098592,965
64.75%,0.896551724,35.25%,0.052473763,0.050974513,98.95%,0.00%,1.05%,0.00%,598,Pakistan,Lahore,99.10045,78.173293,2.20%,98.050975,76.015403,70.4229,0.00%,0.537903226,667,0.462096774,573,4.70%,6318745,35,34,Punjab,81,94.212894,96.551724,1240
56.83%,0.706666667,43.17%,0.063529412,0.229803922,96.82%,0.00%,3.18%,0.00%,901,Pakistan,Layyah,99.607843,78.155558,2.20%,73.882353,87.813863,62.641374,0.00%,0.765306122,1275,0.234693878,391,4.70%,1120951,81,293,Punjab,69,89.709804,97.019608,1666
57.36%,0.855421687,42.64%,0.018932874,0.125645439,99.52%,0.00%,0.48%,0.00%,497,Pakistan,Lodhran,97.418244,65.817902,2.20%,85.714286,59.807964,64.819599,0.00%,0.700844391,581,0.299155609,248,4.70%,1171800,11,73,Punjab,46,91.772806,96.729776,829
53.17%,,46.83%,,,,,,,,Pakistan,Mandi Bahauddin,99.469965,79.036265,2.20%,92.226148,81.116896,60.2,,0.663540445,566,0.336459555,287,4.70%,1160552,,,Punjab,78,92.718324,96.113074,853
63.81%,0.798586572,36.19%,0.064487633,0.136925795,91.75%,0.00%,8.25%,0.00%,904,Pakistan,Mianwali,95.053004,71.882733,2.20%,76.943463,70.437631,58.9,0.00%,0.791055206,1132,0.208944794,299,4.70%,1056620,73,155,Punjab,72,86.713781,94.699647,1431
55.05%,0.872047244,44.95%,0.029527559,0.098425197,97.60%,0.00%,2.40%,0.00%,886,Pakistan,Multan,99.114173,63.88516,2.20%,88.582677,66.811191,43.78335,0.00%,0.718021201,1016,0.281978799,399,4.70%,3116851,30,100,Punjab,50,92.581267,95.374016,1415
70.69%,0.746511628,29.31%,0.054069767,0.199418605,96.21%,0.00%,3.79%,0.00%,1284,Pakistan,Muzaffargarh,98.895349,57.190606,2.20%,87.093023,60.727482,50.725,0.00%,0.825732117,1720,0.174267883,363,4.70%,2635903,93,343,Punjab,38,91.958899,95.930233,2083
62.71%,0.843444227,37.29%,0.023483366,0.133072407,94.47%,0.00%,5.53%,0.00%,431,Pakistan,Nankana Sahib,98.630137,72.389784,2.20%,84.540117,76.823655,69.45,0.00%,0.688679245,511,0.311320755,231,4.70%,1410000,12,68,Punjab,56,89.608957,95.694716,742
57.44%,0.815544041,42.56%,0.066321244,0.118134715,92.37%,0.00%,7.63%,0.00%,787,Pakistan,Narowal,97.823834,76.340114,2.20%,72.849741,82.028583,68.775,0.00%,0.751557632,965,0.248442368,319,4.70%,1265097,64,114,Punjab,62,88.34609,94.92228,1284
54.86%,0.73,45.14%,0.031818182,0.238181818,93.12%,0.00%,6.88%,0.00%,803,Pakistan,Okara,98.272727,74.816165,2.20%,86.272727,80.919195,56.206284,0.00%,0.701083493,1100,0.298916507,469,4.70%,2232992,35,262,Punjab,67,92.072727,97.181818,1569
58.90%,0.825825826,41.10%,0.010510511,0.163663664,97.04%,0.00%,2.96%,0.00%,550,Pakistan,Pakpattan,97.297297,69.483538,2.20%,91.291291,72.738253,63.1,0.00%,0.730263158,666,0.269736842,246,4.70%,1286680,7,109,Punjab,51,93.093093,98.348348,912
59.90%,0.676771504,40.10%,0.064797272,0.258431224,91.86%,0.00%,8.14%,0.00%,1786,Pakistan,Rahim Yar Khan,95.718075,64.432986,2.20%,63.849943,49.68753,64.946984,0.00%,0.814003701,2639,0.185996299,603,4.70%,3141053,171,682,Punjab,53,83.583782,90.564608,3242
76.50%,0.573869347,23.50%,0.148743719,0.277386935,90.40%,0.00%,9.60%,0.00%,571,Pakistan,Rajanpur,96.582915,50.253661,2.20%,58.39196,52.433417,46.084804,0.00%,0.860726644,995,0.139273356,161,4.70%,1103618,148,276,Punjab,29,83.316583,91.055276,1156
55.75%,0.941035857,44.25%,0.014342629,0.044621514,87.20%,0.00%,12.80%,0.00%,1181,Pakistan,Rawalpindi,92.031873,82.315609,2.20%,80.876494,77.880167,71.128775,0.00%,0.635121457,1255,0.364878543,721,4.70%,3363911,18,56,Punjab,86,86.96359,95.059761,1976
59.30%,0.888268156,40.70%,0.018156425,0.093575419,90.27%,0.00%,9.73%,0.00%,636,Pakistan,Sahiwal,99.72067,72.353003,2.20%,98.184358,73.382237,55.325,0.00%,0.59517872,716,0.40482128,487,4.70%,1843194,13,67,Punjab,70,92.73743,97.905028,1203
55.92%,0.843562874,44.08%,0.046407186,0.11002994,92.86%,0.00%,7.14%,0.00%,1127,Pakistan,Sargodha,98.727545,73.282149,2.20%,87.5,70.849114,60.194776,0.00%,0.658128079,1336,0.341871921,694,4.70%,2665979,62,147,Punjab,68,91.07016,96.107784,2030
56.61%,0.768796992,43.39%,0.073308271,0.157894737,94.14%,0.00%,5.86%,0.00%,818,Pakistan,Sheikhupura,97.838346,79.528024,2.20%,79.981203,73.575378,62.15,0.00%,0.741980474,1064,0.258019526,370,4.70%,2321029,78,168,Punjab,89,88.830358,94.172932,1434
51.16%,0.813387424,48.84%,0.07775524,0.108857336,97.00%,0.00%,3.00%,0.00%,1203,Pakistan,Sialkot,97.701149,82.35947,2.20%,88.911427,84.613435,55.979907,0.00%,0.738392411,1479,0.261607589,524,4.70%,1688823,115,161,Punjab,90,92.377763,95.807978,2003
53.79%,0.934722222,46.21%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,673,Pakistan,Toba Tek Singh,99.722222,80.199125,2.20%,94.166667,76.411881,71.175,0.00%,0.596520298,720,0.403479702,487,4.70%,1621593,16,31,Punjab,77,93.25,98.194444,1207
57.00%,0.843570058,43.00%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,879,Pakistan,Vehari,99.328215,69.009491,2.20%,93.28215,69.086973,54.95,0.00%,0.692358804,1042,0.307641196,463,4.70%,2090416,27,136,Punjab,59,94.845025,97.888676,1505
86.84%,0.051148225,13.16%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,147,Pakistan,Badin,39.06302663,45.48902387,2.59%,5.257836198,52.5,39.5,28.18%,0.941677588,2874,0.058322412,178,3.70%,1136044,804,1923,Sindh,26.8,34.06134142,52.78058645,3052
100.00%,0.500508647,0.00%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,984,Pakistan,Dadu,39.92015968,51.89453895,2.59%,12.7744511,70.83333333,44.6,21.05%,0.933966746,1966,0.066033254,139,3.70%,1688811,237,745,Sindh,45.2,35.20958084,54.14171657,2105
100.00%,0.34609076,0.00%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,633,Pakistan,Ghotki,58.78885316,48.28149311,2.59%,12.70096463,58.33333333,40.475,16.84%,0.933163265,1829,0.066836735,131,3.70%,970549,232,964,Sindh,44.4,40.60021436,55.25187567,1960
69.99%,0.447187929,30.01%,0.24691358,0.305898491,47.44%,11.26%,24.46%,12.40%,326,Pakistan,Hyderabad,65.15486726,55.67608857,2.59%,51.10619469,63.33333333,39.3625,4.44%,0.829351536,729,0.170648464,150,3.70%,1565000,180,223,Sindh,40,64.71238938,84.62389381,879
92.43%,0.320541761,7.57%,0.25131678,0.42814146,12.15%,19.58%,19.93%,18.40%,426,Pakistan,Jacobabad,27.74725275,46.42484091,2.59%,10.43956044,55.83333333,20.7,29.93%,0.922916667,1329,0.077083333,111,3.70%,1425572,334,569,Sindh,51.6,23.81868132,37.08791209,1440
85.94%,0.298737728,14.06%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,213,Pakistan,Jamshoro,42.80487805,47.45957865,2.59%,30.97560976,57.5,30.675,11.69%,0.905972046,713,0.094027954,74,3.70%,0,223,277,Sindh,37.6,47.85365854,72.19512195,787
90.24%,0.459102902,9.76%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,696,Pakistan,Kambar-Shahdadkot,47.64631043,46.79326527,2.59%,26.78117048,55.83333333,37.575,24.65%,0.92949111,1516,0.07050889,115,3.70%,0,253,567,Sindh,34,42.09923664,60.75063613,1631
65.89%,0.700232019,34.11%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,1509,Pakistan,Karachi,63.08300395,63.40273671,2.59%,63.00395257,82.5,48.6,3.94%,0.695834679,2155,0.304165321,942,3.70%,13215631,230,416,Sindh,38.4,65.24901186,76.6798419,3097
97.22%,0.411342426,2.78%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,573,Pakistan,Kashmore-Kandhkot,45.95924104,48.26767017,2.59%,3.794799719,56.66666667,34.425,40.74%,0.931772575,1393,0.068227425,102,3.70%,662462,189,631,Sindh,49.2,22.93745608,27.61770907,1495
91.11%,0.114303959,8.89%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,358,Pakistan,Khairpur,71.63204748,55.11875751,2.59%,34.80712166,73.33333333,38.25,11.16%,0.905202312,3132,0.094797688,328,3.70%,1546587,1113,1661,Sindh,50,51.21661721,65.10385757,3460
86.32%,0.617248062,13.68%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,637,Pakistan,Larkana,76.53311529,53.59395915,2.59%,64.10466067,64.16666667,36.525,6.51%,0.883561644,1032,0.116438356,136,3.70%,1927066,91,304,Sindh,50,65.78904334,81.52085037,1168
88.43%,0.005834306,11.57%,0.25633232,0.403733956,45.46%,8.10%,20.19%,16.41%,5,Pakistan,Matiari,67.37064414,44.2448495,2.59%,57.97254488,63.33333333,24.075,9.83%,0.925485961,857,0.074514039,69,3.70%,515331,506,346,Sindh,28,62.40760296,81.3093981,926
88.09%,0.332320162,11.91%,0.301050175,0.53698075,13.20%,16.71%,14.77%,20.82%,656,Pakistan,Mirpurkhas,40.67218704,46.84018627,2.59%,16.22016561,67.5,35.95,34.49%,0.911357341,1974,0.088642659,192,3.70%,1569030,258,1060,Sindh,22,34.0185095,47.34534827,2166
89.52%,0.444286392,10.48%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,937,Pakistan,Naushehro Feroze,70.56705671,53.8315647,2.59%,36.27362736,64.16666667,48.675,10.55%,0.904373928,2109,0.095626072,223,3.70%,1087571,298,874,Sindh,42,48.86588659,61.34113411,2332
89.94%,0.333900613,10.06%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,981,Pakistan,Sanghar,43.51411354,49.34518112,2.59%,100,67.5,37.025,28.10%,0.940460948,2938,0.059539052,186,3.70%,1453028,620,1337,Sindh,32.8,54.29749445,52.36282905,3124
93.73%,0.308236273,6.27%,0.210347175,0.43469218,40.56%,13.48%,18.77%,15.54%,741,Pakistan,Shaheed Benazirabad,57.22702278,51.43270386,2.59%,22.93794187,65.83333333,36.025,11.65%,0.915460777,2404,0.084539223,222,3.70%,1071533,618,1045,Sindh,47.6,43.75490966,52.51374705,2626
90.52%,0.628303495,9.48%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,737,Pakistan,Shikarpur,63.45541401,49.50286278,2.59%,26.19426752,60.83333333,37.7,15.08%,0.902307692,1173,0.097692308,127,3.70%,0,170,266,Sindh,40,46.38535032,64.96815287,1300
90.64%,0.273636364,9.36%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,301,Pakistan,Sukkur,73.75713121,50.02037826,2.59%,46.21026895,67.5,41.625,8.87%,0.879296563,1100,0.120703437,151,3.70%,890438,284,515,Sindh,31.6,56.1206194,75.06112469,1251
96.13%,0.214285714,3.87%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,159,Pakistan,Tando Allah Yar,56.84754522,40.42042395,2.59%,40.18087855,53.33333333,30.475,11.31%,0.89290012,742,0.10709988,89,3.70%,908373,160,423,Sindh,24,55.50387597,74.28940569,831
93.37%,0,6.63%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,0,Pakistan,Tando Muhammad Khan,56.18661258,38.51,2.59%,10.7505071,45.83333333,31.175,18.78%,0.934119961,950,0.065880039,67,3.70%,550000,418,706,Sindh,20.4,40.14198783,52.02839757,1017
81.44%,0.024200054,18.56%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,90,Pakistan,Tharparkar,29.82184353,49.44511576,2.59%,1.290988897,72.5,24.325,52.89%,0.927894212,3719,0.072105788,289,3.70%,955812,1553,2076,Sindh,32.4,26.48076427,36.35424735,4008
86.71%,0.018284107,13.29%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,26,Pakistan,Thatta,18.56419987,39.17521407,2.59%,2.024035421,50.83333333,27.375,44.42%,0.938613861,1422,0.061386139,93,3.70%,914291,732,664,Sindh,15.2,18.77292853,30.89816572,1515
91.89%,0.089423077,8.11%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,186,Pakistan,Umerkot,30.39305302,49.30634437,2.59%,15.26508227,74.16666667,37.75,28.08%,0.9344115,2080,0.0655885,146,3.70%,1113194,683,1211,Sindh,27.2,37.58683729,58.72943327,2226
73.02%,0.051148225,26.98%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,147,Pakistan,Badin,37.47030553,52.5,2.62%,33.56728459,37.155,48.45,28.18%,0.941677588,2874,0.058322412,178,4.10%,1136044,804,1923,Sindh,47.415,40.92,63.66529351,3052
60.39%,0.500508647,39.61%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,984,Pakistan,Dadu,50.94116149,64.13,2.62%,60.00993378,54.34,52.39,21.05%,0.933966746,1966,0.066033254,139,4.10%,1688811,237,745,Sindh,60.175,52.985,60.52878248,2105
64.67%,0.34609076,35.34%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,633,Pakistan,Ghotki,73.91208199,71.855,2.62%,51.86569579,77.025,56.63,16.84%,0.933163265,1829,0.066836735,131,4.10%,970549,232,964,Sindh,68.44,54.34,60.27993528,1960
56.07%,0.447187929,43.93%,0.24691358,0.305898491,47.44%,11.26%,24.46%,12.40%,326,Pakistan,Hyderabad,74.63577864,75.865,2.62%,78.64028314,72.24,66.61,4.44%,0.829351536,729,0.170648464,150,4.10%,1565000,180,223,Sindh,70.695,75.005,84.38738739,879
66.36%,0.320541761,33.64%,0.25131678,0.42814146,12.15%,19.58%,19.93%,18.40%,426,Pakistan,Jacobabad,35.22753835,59.47,2.62%,45.95544193,41.78,60.24,29.93%,0.922916667,1329,0.077083333,111,4.10%,1425572,334,569,Sindh,52.21,41.28,50.66070124,1440
77.54%,0.298737728,22.46%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,213,Pakistan,Jamshoro,53.04232804,52.435,2.62%,72.96825397,37.995,58.84,11.69%,0.905972046,713,0.094027954,74,4.10%,0,223,277,Sindh,40.445,58.725,70.25661376,787
62.04%,0.459102902,37.97%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,696,Pakistan,Kambar-Shahdadkot,48.04605263,62.83,2.62%,62.60526316,51.7,52.365,24.65%,0.92949111,1516,0.07050889,115,4.10%,0,253,567,Sindh,59.29,52.2,62.17105263,1631
64.71%,0.700232019,35.29%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,1509,Pakistan,Karachi,67.09132511,69.945,2.62%,76.21687226,66.1,66.65,3.94%,0.695834679,2155,0.304165321,942,4.10%,13215631,230,416,Sindh,61.735,71.455,77.77656188,3097
75.26%,0.411342426,24.74%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,573,Pakistan,Kashmore-Kandhkot,47.99568966,62.47,2.62%,29.65086207,39.105,66.325,40.74%,0.931772575,1393,0.068227425,102,4.10%,662462,189,631,Sindh,69.71,35.75,35.10201149,1495
62.75%,0.114303959,37.26%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,358,Pakistan,Khairpur,83.4485551,66.76,2.62%,69.91362337,46.685,67.255,11.16%,0.905202312,3132,0.094797688,328,4.10%,1546587,1113,1661,Sindh,65.84,65.54,77.78040648,3460
63.55%,0.617248062,36.46%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,637,Pakistan,Larkana,84.33649289,67.71,2.62%,76.88151659,54.305,57.3,6.51%,0.883561644,1032,0.116438356,136,4.10%,1927066,91,304,Sindh,72.775,72,83.72037915,1168
