% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
81.53%,0.798586572,18.47%,0.064487633,0.136925795,91.75%,0.00%,8.25%,0.00%,904,Pakistan,Mianwali,78.59450727,68.18095362,2.59%,63.97415186,90,65.45,0.00%,0.791055206,1132,0.208944794,299,3.70%,1056620,73,155,Punjab,48.8,72.61712439,84.57189015,1431
58.50%,0.872047244,41.50%,0.029527559,0.098425197,97.60%,0.00%,2.40%,0.00%,886,Pakistan,Multan,92.07692308,66.00211157,2.59%,59.30769231,78.33333333,60.975,0.00%,0.718021201,1016,0.281978799,399,3.70%,3116851,30,100,Punjab,33.2,75.92307692,89.38461539,1415
80.85%,0.746511628,19.15%,0.054069767,0.199418605,96.21%,0.00%,3.79%,0.00%,1284,Pakistan,Muzaffargarh,90.58084772,55.11998665,2.59%,23.54788069,63.33333333,55.2,0.00%,0.825732117,1720,0.174267883,363,3.70%,2635903,93,343,Punjab,32.8,61.07796965,78.59759288,2083
67.11%,0.843444227,32.89%,0.023483366,0.133072407,94.47%,0.00%,5.53%,0.00%,431,Pakistan,Nankana Sahib,88.91280947,73.44750316,2.59%,41.8729817,85,66.7,0.00%,0.688679245,511,0.311320755,231,3.70%,1410000,12,68,Punjab,59.2,66.15715824,80.0861141,742
64.41%,0.815544041,35.59%,0.066321244,0.118134715,92.37%,0.00%,7.63%,0.00%,787,Pakistan,Narowal,94.45727483,79.75287065,2.59%,61.73979985,96.66666667,68.75,0.00%,0.751557632,965,0.248442368,319,3.70%,1265097,64,114,Punjab,68,75.85835258,79.90762125,1284
68.25%,0.73,31.75%,0.031818182,0.238181818,93.12%,0.00%,6.88%,0.00%,803,Pakistan,Okara,90.25157233,70.49878909,2.59%,57.54716981,89.16666667,69.475,0.00%,0.701083493,1100,0.298916507,469,3.70%,2232992,35,262,Punjab,41.6,75.56603774,87.5,1569
80.34%,0.825825826,19.66%,0.010510511,0.163663664,97.04%,0.00%,2.96%,0.00%,550,Pakistan,Pakpattan,90.8496732,63.3403434,2.59%,77.64705882,80,63.7,0.00%,0.730263158,666,0.269736842,246,3.70%,1286680,7,109,Punjab,40,80.81045752,87.18954248,912
70.53%,0.676771504,29.47%,0.064797272,0.258431224,91.86%,0.00%,8.14%,0.00%,1786,Pakistan,Rahim Yar Khan,79.22848665,57.80291631,2.59%,42.3013518,59.16666667,58.175,0.00%,0.814003701,2639,0.185996299,603,3.70%,3141053,171,682,Punjab,34.4,65.3214639,78.27233762,3242
100.00%,0.573869347,0.00%,0.148743719,0.277386935,90.40%,0.00%,9.60%,0.00%,571,Pakistan,Rajanpur,74.07071623,43.43552587,2.59%,13.8712602,62.5,54.7,0.00%,0.860726644,995,0.139273356,161,3.70%,1103618,148,276,Punjab,18,57.33454216,75.52130553,1156
66.17%,0.941035857,33.83%,0.014342629,0.044621514,87.20%,0.00%,12.80%,0.00%,1181,Pakistan,Rawalpindi,68.44262295,80.8857355,2.59%,53.98126464,98.33333333,62.975,0.00%,0.635121457,1255,0.364878543,721,3.70%,3363911,18,56,Punjab,78.4,67.17798595,79.44964871,1976
